date,source,url,seg,pos_cnt,neg_cnt,neutral_cnt,total_cnt,fill_source
2020-04-16,Business Mirror,https://businessmirror.com.ph/2020/04/16/banks-have-enough-buffer-for-pandemic-stress-analysts/,H,0,0,5,5,manual
2020-04-16,Business Mirror,https://businessmirror.com.ph/2020/04/16/banks-have-enough-buffer-for-pandemic-stress-analysts/,F,8,4,243,255,manual
2020-04-16,Business Mirror,https://businessmirror.com.ph/2020/04/16/banks-have-enough-buffer-for-pandemic-stress-analysts/,HP,0,0,26,26,manual
2020-04-16,Business Mirror,https://businessmirror.com.ph/2020/04/16/billease-lazada-launch-loan-program-for-msmes/,H,0,0,6,6,manual
2020-04-16,Business Mirror,https://businessmirror.com.ph/2020/04/16/billease-lazada-launch-loan-program-for-msmes/,F,1,2,214,217,manual
2020-04-16,Business Mirror,https://businessmirror.com.ph/2020/04/16/billease-lazada-launch-loan-program-for-msmes/,HP,0,0,26,26,manual
2020-04-16,Business Mirror,https://businessmirror.com.ph/2020/04/16/landbank-opens-lending-window-for-smes-co-ops-affected-by-ecq/,H,0,0,8,8,manual
2020-04-16,Business Mirror,https://businessmirror.com.ph/2020/04/16/landbank-opens-lending-window-for-smes-co-ops-affected-by-ecq/,F,2,0,143,145,manual
2020-04-16,Business Mirror,https://businessmirror.com.ph/2020/04/16/landbank-opens-lending-window-for-smes-co-ops-affected-by-ecq/,HP,2,0,35,37,manual
2020-04-16,Business World,https://www.bworldonline.com/editors-picks/2020/04/16/289537/yields-on-seven-day-deposits-drop-as-bsp-reopens-facility/,H,0,0,8,8,auto
2020-04-16,Business World,https://www.bworldonline.com/editors-picks/2020/04/16/289537/yields-on-seven-day-deposits-drop-as-bsp-reopens-facility/,F,4,1,299,304,auto
2020-04-16,Business World,https://www.bworldonline.com/editors-picks/2020/04/16/289537/yields-on-seven-day-deposits-drop-as-bsp-reopens-facility/,HP,0,1,34,35,auto
2020-04-16,Business World,https://www.bworldonline.com/editors-picks/2020/04/16/289566/bop-position-reverts-to-surplus-in-feb/,H,0,0,5,5,auto
2020-04-16,Business World,https://www.bworldonline.com/editors-picks/2020/04/16/289566/bop-position-reverts-to-surplus-in-feb/,F,3,3,355,361,auto
2020-04-16,Business World,https://www.bworldonline.com/editors-picks/2020/04/16/289566/bop-position-reverts-to-surplus-in-feb/,HP,0,0,20,20,auto
2020-04-16,Business World,https://www.bworldonline.com/editors-picks/2020/04/16/289761/shares-wipe-out-recent-gains-on-profit-taking/,H,0,0,6,6,auto
2020-04-16,Business World,https://www.bworldonline.com/editors-picks/2020/04/16/289761/shares-wipe-out-recent-gains-on-profit-taking/,F,2,6,216,224,auto
2020-04-16,Business World,https://www.bworldonline.com/editors-picks/2020/04/16/289761/shares-wipe-out-recent-gains-on-profit-taking/,HP,0,1,20,21,auto
2020-04-16,Inquirer,https://business.inquirer.net/294843/psei-nears-6000-but-fresh-virus-attack-may-cause-retreat,H,0,0,7,7,auto
2020-04-16,Inquirer,https://business.inquirer.net/294843/psei-nears-6000-but-fresh-virus-attack-may-cause-retreat,F,4,2,174,180,auto
2020-04-16,Inquirer,https://business.inquirer.net/294843/psei-nears-6000-but-fresh-virus-attack-may-cause-retreat,HP,0,0,23,23,auto
2020-04-16,Inquirer,https://business.inquirer.net/294845/wave-of-loan-restructurings-seen,H,0,0,4,4,auto
2020-04-16,Inquirer,https://business.inquirer.net/294845/wave-of-loan-restructurings-seen,F,12,22,299,333,auto
2020-04-16,Inquirer,https://business.inquirer.net/294845/wave-of-loan-restructurings-seen,HP,0,2,14,16,auto
2020-04-16,Inquirer,https://business.inquirer.net/294847/bop-swings-to-839-m-surplus-in-february,H,0,0,4,4,auto
2020-04-16,Inquirer,https://business.inquirer.net/294847/bop-swings-to-839-m-surplus-in-february,F,0,0,228,228,auto
2020-04-16,Inquirer,https://business.inquirer.net/294847/bop-swings-to-839-m-surplus-in-february,HP,0,0,22,22,auto
2020-04-16,Inquirer,https://business.inquirer.net/294849/landbank-offers-loan-package-to-help-small-firms-recover,H,1,0,7,8,auto
2020-04-16,Inquirer,https://business.inquirer.net/294849/landbank-offers-loan-package-to-help-small-firms-recover,F,1,0,180,181,auto
2020-04-16,Inquirer,https://business.inquirer.net/294849/landbank-offers-loan-package-to-help-small-firms-recover,HP,2,0,28,30,auto
2020-04-16,Inquirer,https://business.inquirer.net/294891/diokno-delivers-early-on-promised-rate-cuts-as-covid-19-accelerates-bsp-timetable,H,0,0,10,10,auto
2020-04-16,Inquirer,https://business.inquirer.net/294891/diokno-delivers-early-on-promised-rate-cuts-as-covid-19-accelerates-bsp-timetable,F,2,1,298,301,auto
2020-04-16,Inquirer,https://business.inquirer.net/294891/diokno-delivers-early-on-promised-rate-cuts-as-covid-19-accelerates-bsp-timetable,HP,0,0,38,38,auto
2020-04-17,Business World,https://www.bworldonline.com/editors-picks/2020/04/17/289697/filipinos-shift-to-e-payments-online-banking-amid-lockdown/,H,0,0,7,7,auto
2020-04-17,Business World,https://www.bworldonline.com/editors-picks/2020/04/17/289697/filipinos-shift-to-e-payments-online-banking-amid-lockdown/,F,4,1,450,455,auto
2020-04-17,Business World,https://www.bworldonline.com/editors-picks/2020/04/17/289697/filipinos-shift-to-e-payments-online-banking-amid-lockdown/,HP,1,0,19,20,auto
2020-04-17,Business World,https://www.bworldonline.com/editors-picks/2020/04/17/289942/peso-weakens-on-rate-cut-china-gdp-contraction/,H,0,1,6,7,auto
2020-04-17,Business World,https://www.bworldonline.com/editors-picks/2020/04/17/289942/peso-weakens-on-rate-cut-china-gdp-contraction/,F,0,5,196,201,auto
2020-04-17,Business World,https://www.bworldonline.com/editors-picks/2020/04/17/289942/peso-weakens-on-rate-cut-china-gdp-contraction/,HP,0,3,20,23,auto
2020-04-17,Business World,https://www.bworldonline.com/editors-picks/2020/04/17/289946/bank-loans-to-small-firms-to-count-in-computing-reserves/,H,0,0,7,7,auto
2020-04-17,Business World,https://www.bworldonline.com/editors-picks/2020/04/17/289946/bank-loans-to-small-firms-to-count-in-computing-reserves/,F,4,4,293,301,auto
2020-04-17,Business World,https://www.bworldonline.com/editors-picks/2020/04/17/289946/bank-loans-to-small-firms-to-count-in-computing-reserves/,HP,0,0,25,25,auto
2020-04-17,Business World,https://www.bworldonline.com/editors-picks/2020/04/17/289958/stocks-up-nearly-5-on-news-of-an-interest-rate-cut/,H,0,0,5,5,auto
2020-04-17,Business World,https://www.bworldonline.com/editors-picks/2020/04/17/289958/stocks-up-nearly-5-on-news-of-an-interest-rate-cut/,F,5,4,349,358,auto
2020-04-17,Business World,https://www.bworldonline.com/editors-picks/2020/04/17/289958/stocks-up-nearly-5-on-news-of-an-interest-rate-cut/,HP,1,1,28,30,auto
2020-04-17,Inquirer,https://business.inquirer.net/294927/ph-shares-dive-7-wary-mood-back,H,0,0,5,5,auto
2020-04-17,Inquirer,https://business.inquirer.net/294927/ph-shares-dive-7-wary-mood-back,F,0,6,144,150,auto
2020-04-17,Inquirer,https://business.inquirer.net/294927/ph-shares-dive-7-wary-mood-back,HP,0,0,24,24,auto
2020-04-17,Inquirer,https://business.inquirer.net/294932/stocks-climb-as-pandemic-winners-pull-away-on-wall-street,H,0,0,8,8,auto
2020-04-17,Inquirer,https://business.inquirer.net/294932/stocks-climb-as-pandemic-winners-pull-away-on-wall-street,F,6,19,408,433,auto
2020-04-17,Inquirer,https://business.inquirer.net/294932/stocks-climb-as-pandemic-winners-pull-away-on-wall-street,HP,0,0,33,33,auto
2020-04-17,Inquirer,https://business.inquirer.net/294940/asian-shares-climb-on-china-data-wall-street-rally,H,0,0,8,8,auto
2020-04-17,Inquirer,https://business.inquirer.net/294940/asian-shares-climb-on-china-data-wall-street-rally,F,12,18,428,458,auto
2020-04-17,Inquirer,https://business.inquirer.net/294940/asian-shares-climb-on-china-data-wall-street-rally,HP,1,0,19,20,auto
2020-04-17,Inquirer,https://business.inquirer.net/294958/covid-19-impact-london-think-tank-says-ph-likely-to-cut-policy-rate-to-2-percent,H,0,0,12,12,auto
2020-04-17,Inquirer,https://business.inquirer.net/294958/covid-19-impact-london-think-tank-says-ph-likely-to-cut-policy-rate-to-2-percent,F,1,10,309,320,auto
2020-04-17,Inquirer,https://business.inquirer.net/294958/covid-19-impact-london-think-tank-says-ph-likely-to-cut-policy-rate-to-2-percent,HP,0,0,33,33,auto
2020-04-17,Inquirer,https://business.inquirer.net/294962/ph-consumer-confidence-dives-for-2nd-quarter-of-2020-says-new-bsp-survey,H,0,0,10,10,auto
2020-04-17,Inquirer,https://business.inquirer.net/294962/ph-consumer-confidence-dives-for-2nd-quarter-of-2020-says-new-bsp-survey,F,1,3,263,267,auto
2020-04-17,Inquirer,https://business.inquirer.net/294962/ph-consumer-confidence-dives-for-2nd-quarter-of-2020-says-new-bsp-survey,HP,0,2,25,27,auto
